able	unable
clean, unobjectionable; antiseptic; decent	dirty; scabrous; bawdy, ribald, off-color; indecent; scatological; foul-mouthed, foul-spoken; blasphemous, blue, profane; obscene, salacious, lewd, raunchy; smutty, nasty, cruddy, filthy, foul; dirty-minded
clean, uncontaminating	contaminating, dirty
radioactive; hot	nonradioactive
clean; pure; clean; halal; kosher, cosher	impure, unclean; nonkosher, tref, terefah; impure; untouchable
clear; unmistakable; clear-cut, distinct, trenchant; distinct; comprehendible, comprehensible; limpid, perspicuous, crystal clear, pellucid, luculent, lucid; unambiguous; vivid; definite; unsubtle, broad; prima facie	unclear; ambiguous; blurred, clouded; confusing, puzzling, perplexing; vague, obscure; opaque; uncomprehensible, incomprehensible; indefinite; indistinct
clear; unclouded; hyaloid, hyaline; limpid, liquid; transparent, limpid, crystalline, crystal clear, pellucid, lucid; semitransparent, translucent; unfrosted	opaque; light-tight, lightproof; semiopaque; mirky, murky, cloudy, turbid, muddy; glaucous; fogged, foggy; solid; milklike, milky, whitish; frosted; unclear
radiolucent	radio-opaque, radiopaque
clear-thinking, clearheaded; unclouded; clear	confused; befuddled, befogged; stupid, stunned, stupefied, dazed; spaced-out; befuddled, wooly, addled, woolly-headed, woolly, wooly-minded, muddled, muzzy; perplexed; trancelike; dazzled; punch-drunk, silly, slaphappy; addlepated, addlebrained, puddingheaded, muddleheaded; clouded
clement; merciful; lenient	inclement; unsparing; merciless, unmerciful
clement; mild, soft, balmy; temperate	inclement; intemperate
smart; intelligent; cagy, cagey, canny, clever; streetwise, street smart, with-it; shrewd, astute, sharp	stupid; thick, fatheaded, thick-skulled, boneheaded, loggerheaded, thickheaded, duncical, blockheaded, duncish, wooden-headed; dim, dull, obtuse, dense, dumb, slow; goosey, dopy, gooselike, anserine, foolish, dopey, jerky, goosy; stupid, unintelligent; lumpish, lumpen, unthinking; doltish, cloddish; weak; yokel-like; gormless, gaumless; senseless, witless, nitwitted, soft-witted
clockwise; dextral; right-handed, dextrorotary, dextrorotatory	anticlockwise, counterclockwise, contraclockwise; sinistral; levorotatory, left-handed, levorotary
far; cold; further, farther; remote, distant, removed; off the beaten track, out-of-the-way; remote, distant; utmost, farthermost, furthest, furthermost, uttermost, farthest; farther; far-off, faraway; outlying	close, nigh, near; hot; nearby; adjacent; warm
distant; deep; extreme; out-of-town; far-flung; nonadjacent; yon, yonder; long-distance; far	close; snuggled, nestled; proximate; approximate, close together; immediate, contiguous; ambient; scalelike; adjacent, side by side, next; hand-to-hand; enveloping; close-set, close set; walking, walk-to; appressed, adpressed; surrounding, encompassing, circumferent; close-hauled; at hand, close at hand; juxtaposed; impendent, imminent, at hand, close at hand, impending
distant, remote; faraway; removed; loosely knit; ulterior	close; dear, near, good; familiar, intimate; cozy; intimate; confidential; boon; approximate, near; close-knit, closely knit; buddy-buddy, thick, chummy
cousinly	uncousinly
clad, clothed; red-coated, lobster-backed; dressed-up, dolled up, dressed to the nines, dressed, spiffed up, dressed to kill, spruced up, togged up; dighted; gowned; decorated, adorned; appareled, garmented, dressed, habilimented, attired, robed, garbed; petticoated; underdressed; coated; heavy-coated; breeched, pantalooned, trousered; uniformed; bundled-up; habited; suited; arrayed, panoplied; cowled; vestmented; turned out; costumed; overdressed; tuxedoed; caparisoned; cassocked; surpliced; togged	unclothed; bottomless; starkers; without a stitch; unappareled, unclad, undressed, ungarmented, unattired, ungarbed; mother-naked, in one's birthday suit, naked as the day one was born, in your birthday suit, naked as the day you were born; undecorated, unadorned; en deshabille, in dishabille; seminude; clothesless, garmentless, raimentless; stripped; au naturel, naked, nude, bare; barelegged; exposed, uncovered; braless, topless, bare-breasted; underclothed, half-clothed, scantily clad; peeled, raw, in the altogether, in the raw, bare-ass, naked as a jaybird, in the buff, stark naked, bare-assed; off-the-shoulder; bared, bareheaded
saddled	unsaddled; barebacked, bareback
clear; fair; serene; cloudless, unclouded	cloudy; fogbound; smoggy; cloudlike, nebular; misty, brumous, hazy, foggy; miasmal, vaporous, miasmic, vapourous; sullen, threatening, lowering, heavy; dull, leaden; cloud-covered, sunless, overcast, clouded
coastal; maritime; inshore; seaward; coastwise	inland; landlocked; midland, interior, upcountry
inshore, shoreward, seaward, onshore	offshore, seaward
coherent, ordered, consistent, logical; logical; rational; seamless	incoherent; disordered, disconnected, confused, unconnected, garbled, scattered, illogical, disjointed; irrational; unlogical, illogical; fuzzy
collapsable, collapsible; telescopic; tip-up; folding, foldaway, foldable	noncollapsable, noncollapsible; nontelescoping, nontelescopic
crannied	uncrannied
collective; knockdown; agglomerative, agglomerate, agglomerated, clustered; mass, aggregate, aggregated, aggregative; collectivised, collectivized; joint; united; integrative	distributive; immanent; allocatable, allocable, apportionable; distributed; suffusive; separative; permeant, pervasive, permeating, permeative; diffusive, diffusing, disseminative, dispersive; divided
publicised, publicized; heralded; advertised; published, promulgated	suppressed; burked; unreleased; squelched, quenched, quelled; hushed-up
published	unpublished
publishable	unpublishable
reported; notifiable; reportable; according	unreported
reportable	unreportable
combinative, combinatory; combinational, combinable, combinatory; combinatorial; integrative	noncombinative; noncombining
combustible; flammable, inflammable; incendiary; ignescent; ignitable, burnable, ignitible; combustive, comburent, comburant	incombustible, noncombustible; flame-retardant, flameproof; nonflammable; fire-resistive, fire-retardant, fire-resisting, fire-resistant; fireproof
explosive; detonative	nonexplosive
lighted, lit; on fire, alight, ablaze, afire, aflare, aflame; kindled, ignited, enkindled	unlighted, unlit; unkindled
commodious, convenient; roomy, spacious	incommodious; cramped
comfortable, comfy; soothing; snug, cosy, cozy; homelike, homy, homey, homely; easy	uncomfortable; warm; comfortless; uneasy; miserable, wretched; bad, tough; painful, irritating
comfortable; easy; comforted	uncomfortable; disquieting; self-conscious; ill-fitting; uneasy; awkward, ill at ease, uneasy
commensurate; equal; commensurable; proportionate; coextensive, conterminous, coterminous	incommensurate; incommensurable; disproportionate; unequal
proportionate; per capita; proportional; proportionable; proportional, relative	disproportional, disproportionate
commercial; technical; mercantile; commercialized, commercialised; mercantile, moneymaking, mercenary	noncommercial; uncommercial; blue-sky; uncommercialized, uncommercialised; non-profit-making, nonprofit
residential	nonresidential
commissioned	noncommissioned
common; usual; ordinary; average, ordinary; grassroots; general; democratic, popular; frequent; standard; demotic	uncommon; unusual; unusual; red-carpet, red carpet; rare; particular, especial, special, exceptional; extraordinary; unwonted
usual; inveterate, chronic; common; regular; accustomed, habitual, customary, wonted	unusual; unaccustomed; extraordinary; out-of-the-way; odd; uncommon; different; unique; peculiar
hydrophobic	hydrophilic; deliquescent
oleophilic; lipophilic, lipotropic	oleophobic
common; joint; communal; public	individual, single; man-to-man, one-on-one; separate; individualist, individualistic; idiosyncratic; respective, several, various; singular
communicative, communicatory; vocal, outspoken; openhearted; Japanese-speaking; anecdotical, anecdotic, anecdotal; expressive; communicational; Siouan-speaking; Samoyedic-speaking; Oscan-speaking; Kannada-speaking; Gaelic-speaking; yarn-spinning; gestural, nonverbal; Spanish-speaking; heraldic; talkative, expansive; nonverbal; Semitic-speaking; Bantu-speaking; French-speaking; articulate; signed, sign-language, gestural, sign; Flemish-speaking; nonverbal; voluble; Icelandic-speaking; Livonian-speaking; German-speaking; Turkic-speaking; leaky, tattling, blabbermouthed, talebearing; Finno-Ugric-speaking; newsy, gossipy, chatty; narrative; Russian-speaking; verbal; Italian-speaking; English-speaking; communicable; gesticulating	incommunicative, uncommunicative; blank, vacuous; taciturn; mum, silent; closemouthed, close, secretive, closelipped, tightlipped; expressionless, unexpressive, poker-faced, impassive, deadpan; incommunicado; inarticulate, unarticulate; unpronounceable, unutterable; inexpressive
compact; serried; packed; wedged, impacted; consolidated; close-packed; cloggy, clayey, heavy; tight; concentrated	loose; silty; shifting, unfirm; light; unconsolidated
comparable; equal; comparable with; comparable to; parallel	incomparable, uncomparable; unequalled, unique, alone, unequaled, unparalleled; all-time; extraordinary; incommensurable; unmatched, unmatchable, matchless, nonpareil, unrivaled, peerless, one and only, one, unrivalled; best
compassionate; merciful; caring; sympathetic; humane; tenderhearted; nurturant	uncompassionate; unsympathetic; merciless, unmerciful; hardhearted, unfeeling, stonyhearted
compatible; matched; harmonious; congruous; congenial; harmonious; congenial	incompatible; different; contradictory, mutually exclusive; clashing; uncongenial, incompatible; mismatched; uncongenial; unharmonious, inharmonious; antagonistic
compatible	incompatible
miscible, mixable; compatible	immiscible, non-miscible, unmixable; incompatible
competent; efficient, effective; able, capable; efficient; capable; skilled; workmanlike; qualified	incompetent; unqualified; ineffective, inefficient; inept, feckless; unskilled; unworkmanlike; inefficient
competent	incompetent, unqualified
competitive, competitory; rivalrous, emulous; matched; agonistical, combative, agonistic	noncompetitive; accommodative, cooperative; uncompetitive; monopolistic
complaining, complaintive; querulous, whiney, fretful, whiny; protestant	uncomplaining; patient
compressible; compressed	incompressible
whole; livelong; complete; integral, entire, intact; full-length; full-page; undivided; total, entire, full	fractional; incomplete, uncomplete; half; divisional; aliquot; waist-length; fragmental, fragmentary; halfway
whole	half
committed; sworn, pledged; bound up, wrapped up	uncommitted; undecided; fancy-free; floating
dedicated; devoted; devoted; sacred	undedicated
complete; realized, realised, accomplished, completed; full-blown; fleshed out, full-clad; allover; absolute, downright, right-down, rank, sheer, out-and-out; full-dress; all-or-nothing, all-or-none; all; comprehensive; completed; self-contained; clean; hearty; stand-alone; full-scale, all-out; sound; whole; total, full; utter, dead; good; thoroughgoing, exhaustive, thorough	incomplete, uncomplete; sketchy, unelaborated; uncompleted; neither; partial; fractional; half; broken; rudimentary
comprehensive; all-embracing, across-the-board, extensive, blanket, wide, panoptic, encompassing, all-encompassing, all-inclusive, broad; countywide; schoolwide; citywide; door-to-door, house-to-house; countrywide, nationwide; omnibus; general; plenary; spaciotemporal, spatiotemporal; wide, broad; large; umbrella; complete; statewide; all-round, all-around, well-rounded; super; general, oecumenical, worldwide, universal, ecumenical, cosmopolitan, world-wide; encyclopedic, encyclopaedic	incomprehensive, noncomprehensive; limited
composed; cool, nerveless, coolheaded; serene, unagitated, tranquil, calm; unagitated; unflappable, imperturbable; dignified; unflustered, unruffled, unperturbed, unflurried; self-collected, self-contained, equanimous, collected, poised, self-possessed	discomposed; discombobulated, disconcerted; chagrined, abashed, embarrassed; unstrung; bothered, fazed, daunted; undignified; red-faced, blushful, blushing; perturbed, hot and bothered, flustered, rattled; agitated
comprehendible, comprehensible; explicable; approachable, accessible; intelligible; apprehensible, perceivable, understandable, graspable, intelligible; fathomable; clear	incomprehensible, uncomprehensible; unintelligible, opaque; inexplicable, incomprehensible; enigmatic, puzzling, enigmatical; impenetrable; indecipherable; unintelligible; missed, lost; obscure, dark; unfathomable; unclear
concave; concavo-concave, biconcave; recessed; dished, patelliform, dish-shaped; cupulate, cupular; cuplike; intrusive; planoconcave; concavo-convex; urn-shaped; saucer-shaped; boat-shaped; bowl-shaped; umbilicate; bursiform, pouch-shaped, pouchlike, saclike; cotyloid, cotyloidal, acetabular	bulging, convex; protrusive; bell-shaped; broken-backed, hogged; lenticular, convexo-convex, biconvex, lentiform; convexo-concave; umbel-like, umbellate; gibbous, gibbose; helmet-shaped; planoconvex
concentrated; cumulous; thickset; single, exclusive, undivided; compact; thick; bunchy	distributed; doled out, meted out, parceled out, apportioned, dealt out; rationed; spaced, separated; scattered; low-density; dispersed, spread; divided, shared out, divided up, shared; diffused; splashed; spread-out, fanned; unfocused, unfocussed; sparse, thin; distributive; broken; straggly; far-flung, widespread; dispensed; diffuse; encyclical
concentric, homocentric, concentrical; coaxial, coaxal	eccentric, nonconcentric; acentric; off-center, off-centered
concerned; afraid; haunted, obsessed, preoccupied, taken up; troubled; afraid; solicitous; attentive	unconcerned; untroubled; blithe; indifferent; nonchalant, insouciant, casual; blase; careless; degage, detached, uninvolved
concise; pithy, sententious; taciturn; brief; cryptic; telegraphic; laconic, curt, terse, crisp; summary, compendious, compact, succinct; apothegmatic, aphoristic, epigrammatic; elliptic, elliptical	prolix; verbal; redundant, tautological, pleonastic, tautologic; diffuse; voluble; verbose, tedious, wordy, windy, long-winded
conclusive; decisive; determinate, definitive	inconclusive; nip and tuck, head-to-head, neck and neck; indeterminate, undetermined; equivocal; nisi; indecisive; indeterminate
consummated; completed; fulfilled	unconsummated
coordinating, coordinative	subordinating, subordinative
accordant; consensual; according; concurring, concordant; unanimous, consentaneous, consentient; agreeable	discordant; dissonant, at variance, discrepant; divisive, factious, dissentious
contracted; contractile	expanded
atrophied, wasted, diminished	enlarged, hypertrophied
conditional; dependant, qualified, dependent; dependent on, depending on, contingent upon, dependant on, contingent, dependant upon, dependent upon, contingent on; provisory; provisional, provisionary, probationary, tentative; qualified; counterfactual, contrary to fact	unconditional, unconditioned; vested; unqualified; blunt, crude, stark
enforceable	unenforceable
enforced, implemented	unenforced
conductive; semiconductive, semiconducting	non-conducting, nonconducting, nonconductive
confined; close, confining; pent, shut up; unfree; stormbound; shut-in, housebound, homebound; snowbound; weather-bound; restricted; claustrophobic	unconfined; free; free-range
crowded; packed, jam-packed, jammed; thronged; huddled	uncrowded
congenial; compatible; friendly; sympathetic; sociable	incompatible, uncongenial; disagreeable, unsympathetic; incompatible; unfriendly; unsympathetic
congruent; superposable, identical; coincident	incongruent
congruent, congruous; appropriate; harmonious	incongruous; unfitting, out or keeping, inappropriate, incompatible; inconsistent, discrepant; ironical, ironic; inharmonious
conjunctive; connective; copulative	disjunctive; divisional; separative; contrastive; alternative; separative, partitive; oppositive, adversative
conjunct	disjunct
connected; engaged; conterminous, contiguous; well-connected; conterminous, neighboring, adjacent, contiguous; adjunctive; linked, coupled, joined; affined	unconnected; exploded; separated, detached; separate, disjoined; unrelated; asternal; obscure, apart, isolated; uncoupled; unattached
conquerable; subduable, subjugable; vanquishable, vincible, beatable; vulnerable; surmountable	unconquerable; invulnerable; insurmountable, unsurmountable; never-say-die, unsubduable, indomitable; insurmountable, insuperable; all-victorious; unbeatable, unvanquishable, invincible; impregnable, inexpugnable
conscious; cognisant, cognizant, aware; sensible, sensitive; sentient; self-aware, self-conscious; awake; voluntary; semiconscious	unconscious; semicomatose; cold; comatose; kayoed, knocked out, stunned, KO'd, out; subconscious; insensible; involuntary, unvoluntary, nonvoluntary; innocent; asleep; nonconscious; insensible, senseless; unaware, incognizant
consecrate, consecrated, dedicated; votive; holy; ordained; sacred	desecrated; deconsecrated; profaned, violated
priestlike, priestly	unpriestly
conservative; orthodox; hidebound, traditionalist; blimpish; nonprogressive, standpat, fusty, unprogressive; right; buttoned-up; ultraconservative	liberal; socialized, socialised; left; reformist, progressive, reform-minded; welfare-statist, welfarist; liberalistic; neoliberal; civil-libertarian
consistent; pursuant; reconciled; accordant, concordant, agreeable, consonant, conformable; unchanging; self-consistent; invariable	inconsistent; contradictory, conflicting, at odds, self-contradictory; discrepant, incompatible; variable; unconformable; unreconciled; uneven, scratchy, spotty
conspicuous; big, large, prominent; marked; in evidence; salient, striking, spectacular, outstanding, prominent; crying, glaring, gross, rank, flagrant, egregious; bold; indiscreet; featured; attention-getting, eye-catching	inconspicuous, invisible; obscure, unnoticeable
discernable, discernible	indiscernible
distinguishable; differentiable; discriminable	indistinguishable, undistinguishable
constant; stable; faithful; unfailing, unflagging; unswerving, staunch, steadfast; unchangeable; invariable	inconstant; volatile; volatile, fickle; unfaithful; variable; false, untrue; unstable; changeable, changeful
constructive; inferential; structural; formative; rehabilitative, reconstructive; plastic, formative, shaping; creative; positive	destructive; damaging, negative; cataclysmal, cataclysmic; harmful; blasting, ruinous; negative; soul-destroying; vitriolic, erosive, corrosive, caustic, mordant; ravaging; wasteful; iconoclastic; erosive; crushing, devastating; annihilative, annihilating, withering, devastating
content, contented; complacent, self-satisfied, self-complacent; satisfied; smug, self-satisfied; pleased; happy	discontent, discontented; displeased; malcontent, ill-affected, disaffected, rebellious; unhappy; restless, ungratified, unsatisfied; disgruntled, dissatisfied
contestable; shakable, shakeable; disputable, debatable; challengeable; questionable	incontestable, incontestible; inarguable, unarguable; unquestionable; unshakable, unassailable, bulletproof, watertight; demonstrated; unanswerable; incontrovertible, demonstrable
continent	incontinent; leaky
continual; repeated, recurrent, perennial; relentless, unrelenting, persistent; recurring, revenant; running; insistent, repetitive	sporadic; discontinuous, noncontinuous; unpredictable, irregular; intermittent; periodic, occasional; spasmodic, fitful; stray, isolated; infrequent
continuous, uninterrupted; sustained; endless; day-and-night, around-the-clock, round-the-clock, nonstop; unceasing, never-ending, perpetual, constant, incessant, ceaseless, unremitting; unbroken; dogging, persisting; sustained, free burning; consecutive, straight; continual	discontinuous, noncontinuous; disrupted; broken; disjunct; sporadic
continuous	discontinuous
continued; continuing	discontinued; interrupted; out of print
controlled; contained; disciplined; regimented; restrained; dominated; harnessed; price-controlled; possessed, obsessed	uncontrolled; runaway; wild; torrential; errant; loose; irrepressible, uncontrollable; unrestrained; anarchical, lawless, anarchic; ungoverned, undisciplined; rampant; lordless, masterless
controversial; polemical, polemic; contentious; disputed; moot, arguable, disputable, debatable	noncontroversial, uncontroversial; unchallenged, undisputed, unquestioned; unchallengeable; stipulatory, agreed upon
argumentative; quarrelsome; eristic, eristical; disputative, contentious, combative, litigious, disputatious	unargumentative; noncontentious
convenient; handy; accessible; expedient; favourable, favorable	inconvenient; awkward
conventional; formal; stuffy, stodgy; formulaic; unoriginal; customary; received	unconventional; unorthodox, maverick, irregular; original; go-as-you-please; bohemian
conventional; formal; stuffy, stodgy; formulaic; unoriginal; customary; received	unconventional; spacy, spaced-out, spacey; outlandish, off-the-wall, outre, eccentric, flakey, gonzo, freaky, bizarre, flaky, freakish; funky; kinky, way-out, quirky, offbeat, far-out; alternative; devil-may-care, raffish, rakish
conventional; stereotyped, unimaginative, stereotypical, stereotypic; buttoned-down, button-down, conservative; white-bread; square, straight	unconventional; spacy, spaced-out, spacey; outlandish, off-the-wall, outre, eccentric, flakey, gonzo, freaky, bizarre, flaky, freakish; funky; kinky, way-out, quirky, offbeat, far-out; alternative; devil-may-care, raffish, rakish
conformist	nonconformist, unconformist
atomic, nuclear; thermonuclear	conventional
traditional; traditionalistic; handed-down, tralatitious; conventional	nontraditional, untraditional
convergent; focused, focussed; oblique; merging, confluent	divergent, diverging; radiating; oblique; branching
branchy; bushy; mop-headed; long-branched; stiff-branched; ramous, ramate, branched, branching, ramose; brachiate; maplelike, maple-like; treelike, arborescent, tree-shaped, dendroid, arboreous, arboreal, dendroidal, arboriform, arboresque, dendriform; thick-branched; well-branched	branchless; palmlike; unbranched, unbranching
convincing; credible; disillusioning, disenchanting; persuasive	flimsy, unconvincing; unbelievable, incredible; unpersuasive
cooked; seared; batter-fried; ready-cooked; sunny-side up; roast, roasted; hard-boiled; wafer-like; soft-boiled; candy-like; done; grilled, broiled; medium; barbecued, grilled; burned, burnt; hard-baked; boiled, poached, stewed; pancake-style; lyonnaise; baked; saute, sauteed; well-done; steamed; au gratin; toasted; overdone; rare-roasted; parched; braised; souffle-like; fried, deep-fried	raw; rare; untoasted; half-baked, underdone; uncooked
cooperative; helpful; collaborative; synergetic, synergistic	uncooperative; unhelpful; disobedient
corrupt; sordid, dirty; immoral; bribable, venal, dishonest, purchasable, corruptible; sold-out; Praetorian, Pretorian; debased, corrupted, vitiated; putrid; perverted, reprobate, perverse, depraved	incorrupt; uncorrupted, unspoiled; incorruptible; antiseptic; uncorrupted
interactive, synergistic	antagonistic, incompatible; antacid; antiphlogistic
considerable; big, large; right smart; significant, substantial; appreciable; tidy, respectable, hefty, sizeable, sizable, healthy, goodly, goodish	inconsiderable
material, substantial, real; material	insubstantial, unreal, unsubstantial; wraithlike, shadowy; nonmaterial, immaterial; stringy; aeriform, aery, aerial, airy, ethereal
material; physical; physical; substantial, real, material	immaterial, nonmaterial; insubstantial, unsubstantial, unreal; intangible, nonphysical
bodied; smooth-bodied; long-bodied; silver-bodied, silvery-bodied; lithe-bodied; slim-bodied, thin-bodied, slender-bodied; oval-bodied; short-bodied; corporeal, material; thick-bodied; narrow-bodied; incarnate	unbodied; formless; incorporeal, immaterial; bodiless, bodyless
brainwashed	unbrainwashed
corporeal, material; reincarnate; bodily; corporal, bodied, incarnate, embodied, corporate; bodied	immaterial, incorporeal; spiritual; unbodied; bodiless, unbodied, disembodied, unembodied, discorporate
correct, right; precise, exact, accurate; straight; true; word-perfect, letter-perfect; proper; accurate	incorrect, wrong; improper; erroneous; inaccurate; fallacious; false; mistaken, false
correct, right; precise, exact, accurate; straight; true; word-perfect, letter-perfect; proper; accurate	incorrect, wrong; improper; erroneous; inaccurate; fallacious; false; mistaken, false
correct, right; right-minded	wrong; wrongheaded
corrected; apochromatic; rectified; aplanatic	uncorrected; unremedied
corrigible; improvable; correctable, amendable; reformable, redeemable	incorrigible; unregenerate, unreformable; uncorrectable, uncontrollable, unmanageable; disobedient
cosmopolitan; traveled, travelled	provincial; corn-fed; stay-at-home; hick, bumpkinly, rustic, unsophisticated; poky, pokey, jerkwater, one-horse; parochial, insular
costive	laxative; evacuant, purgative, cathartic; aperient
constipated; bound	regular, unconstipated; loose, lax; diarrhoeal, diarrheic, diarrheal, diarrhetic, diarrhoeic, diarrhoetic
considerate; kind; thoughtful; tactful; unselfish	inconsiderate; untactful, tactless; selfish; thoughtless; thoughtless, uncaring, unthinking
courteous; respectful; chivalrous, gallant, knightly	discourteous; unchivalrous, caddish, ungallant; disrespectful; curt, brusque, short, brusk; abrupt; unceremonious
polite; well-mannered, mannerly; gracious, nice, courteous	impolite; unparliamentary; discourteous, ungracious; brattish, bratty; unmannerly, rude, ill-mannered, bad-mannered, unmannered
civil, polite	rude, uncivil
civil	sidereal
creative, originative; fictive; inventive, imaginative; notional, fanciful; yeasty; original; productive	uncreative; unoriginal; sterile, unimaginative, uninspired, uninventive; unproductive
believable, credible; plausible; thinkable; presumptive; likely	incredible, unbelievable; incredulous; fabulous; implausible; marvelous, improbable, tall, marvellous; unthinkable; undreamt of, undreamed, undreamed of, unimagined, undreamt; unconvincing, flimsy; dumfounding, astounding, dumbfounding
credulous; unquestioning; naive, naif; overcredulous; trusting, trustful; credible	incredulous; distrustful; unbelieving, skeptical, disbelieving, sceptical; unbelievable, incredible
critical; scathing, vituperative; censorious; hypercritical, overcritical; unfavourable, unfavorable; sarcastic; deprecative; searing; faultfinding, captious	uncritical
judgmental; faultfinding	nonjudgmental
critical; scholarly; judicial, discriminative; discerning; appraising, evaluative	noncritical, uncritical; unscholarly
critical; desperate, dire; acute; grievous, life-threatening, serious, severe, dangerous, grave; crucial, important	noncritical, noncrucial; acritical
critical; supercritical	noncritical
crossed; decussate, intersecting, intersectant; cross-town, crosstown	uncrossed
crossed	uncrossed
cross-eyed; boss-eyed	walleyed
crowned; high-crowned; capped; chapleted; royal; comose, comate	crownless, uncrowned; quasi-royal
crowned; capped	uncrowned; uncapped
crucial, important; decisive; essential; life-and-death, life-or-death; polar, pivotal; critical; decisive, critical	noncrucial
crystallised, crystallized	uncrystallised, uncrystallized
cubic, three-dimensional; cube-shaped, cuboid, cubical, cubelike, cubiform, cuboidal; solid; brick-shaped; isometric; boxlike, boxy, box-shaped; blocky, blockish	planar, two-dimensional; planate, flattened; platelike, placoid; flat; coplanar; tabular
cubic, three-dimensional; cube-shaped, cuboid, cubical, cubelike, cubiform, cuboidal; solid; brick-shaped; isometric; boxlike, boxy, box-shaped; blocky, blockish	linear, one-dimensional; lineal; linelike; collinear; rectilinear, rectilineal
linear, one-dimensional; lineal; linelike; collinear; rectilinear, rectilineal	planar, two-dimensional; planate, flattened; platelike, placoid; flat; coplanar; tabular
one-dimensional, unidimensional	multidimensional; dimensional; two-dimensional, flat, 2-dimensional; three-d, third-dimensional, three-dimensional, 3-dimensional; four-dimensional, 4-dimensional
cut; cut up; perforated; punctured, perforate, pierced, perforated; incised; cut off, severed; split; sliced, shredded, chopped	uncut; imperforate; unpierced
cut	uncut
cut; cut out; slashed; hand-hewn, hewn; sheared	rough, uncut; unsheared
curious; inquisitive, questioning, speculative, wondering; nosy, prying, nosey, snoopy; inquiring; overcurious	incurious; uninterested; uninquiring, uninquisitive
current; on-line, online; occurrent; latest, up-to-the-minute; topical; modern; circulating; incumbent; new; ongoing, on-going; up-to-date; live; live; afoot, underway; actual; present-day, contemporary	noncurrent; obsolescent; back; dead; old; past; disused, obsolete; superannuated, out-of-date, outdated
cursed, curst; damn, goddamn; execrable, damnable; stuck with, cursed with; blamed, goddam, blame, damned, deuced, damn, darned, goddamned, goddamn, blasted, blessed, infernal; accurst, maledict, accursed	blessed, blest; golden, fortunate
endowed; dowered	unendowed; unblessed; dowerless
curtained; draped	curtainless, uncurtained
custom, custom-made; custom-built, made-to-order; tailored, tailor-made, made-to-order, bespoken, bespoke	ready-made; ready-to-eat; prefab; made; off-the-rack, ready-to-wear, off-the-peg, off-the-shelf
hand-crafted, handmade; overhand, oversewn; camp-made; handstitched, handsewn; handwoven, hand-loomed	machine-made
homemade; home-cured; home-baked; do-it-yourself; home-brewed; homespun	factory-made; manufactured; mass-produced; store-bought, boughten; ready-made
cyclic, cyclical; alternate; orbitual, circular, rotary; alternate, alternating	noncyclic, noncyclical
cyclic; heterocyclic; homocyclic, isocyclic; bicyclic; closed-ring, closed-chain	acyclic, open-chain; aliphatic
cyclic; whorled, verticillate, verticillated	acyclic
annual, one-year	biennial, two-year
annual, one-year	perennial
biennial, two-year	perennial
diurnal	nocturnal
damaged; blemished; destroyed; beat-up, beaten-up, battered; broken; broken-backed; weakened, hurt; dilapidated, ramshackle, derelict, tatterdemalion, bedraggled, broken-down, tumble-down; bent, dented, crumpled; riddled; impaired; busted, broken; knocked-out; storm-beaten; injured	undamaged; uninjured; unimpaired; intact; unbroken; unmarred, unblemished, unmutilated
datable, dateable	undatable; undated, dateless; dateless
deaf; tone-deaf; deafened; deaf-and-dumb, deaf-mute; hearing-impaired, hard-of-hearing; stone-deaf, profoundly deaf, unhearing, deaf as a post	hearing; sharp-eared, quick-eared
decent; decorous; clean, unobjectionable; proper	indecent; indecorous, indelicate; obscene; improper; indelicate; dirty; crude, gross, earthy, vulgar; suggestive; Hollywood
decisive; peremptory; fateful, fatal; conclusive; determinative, determinant, determining, deciding; crucial, important	indecisive; irresolute; inconclusive
decisive; resolute; resolute, unhesitating	indecisive; hesitant, hesitating; undecided, on the fence; irresolute; suspensive
asserting, declarative, declaratory	interrogative, interrogatory
asserting, declarative, declaratory	interrogative, interrogatory
declared; proclaimed, announced; avowed, professed; alleged; professed; self-proclaimed; asserted	undeclared; unacknowledged; unavowed
decorous; sedate, staid; in good taste; proper	indecorous, indelicate; improper; indecent
deductible; allowable	nondeductible
deep; bottomless; walk-in; abysmal, abyssal, unfathomable; unfathomed, profound, unplumbed, unsounded; unfathomable; deep-water	shallow; ankle-deep, knee-deep; neritic; reefy, shelvy, shoaly, shelfy; fordable
deep; profound; profound, wakeless, heavy, sound	shallow; wakeful, light
de facto; existent, real	de jure
defeasible	indefeasible; unforfeitable, inalienable
defeated; subjugated; unsuccessful; licked	undefeated; unvanquished, unconquered, unbeaten; unbowed; successful; triumphant, victorious
defiant, noncompliant; difficult, unmanageable; resistant, insubordinate, resistive; intractable; obstreperous; unwilling; insubordinate; recalcitrant; disobedient	compliant; nonresistant; tractable, manipulable; amenable, conformable; lamblike; manageable; willing; obedient
defined; definite	undefined, vague; indefinable, undefinable; indefinite
clear, well-defined	ill-defined, unclear
derived; derivable; plagiaristic, plagiarised, plagiarized; derivative	underived; primary; original
inflected	uninflected
inflected; modulated	uninflected
definite; certain; distinct; decisive; clear; defined; decided, distinct; explicit, expressed	indefinite; indecisive; coy; nebulous, unfixed; one; vague, undefined; noncommittal; indistinct; unclear
dehiscent	indehiscent
